case,seed,GWO,PSO,SGO,WOA
F5,6,30.898589608267415,51.52948792861097,39.05385816147488,23.55386428910779
F5,7,21.29516421742773,32.016622842024034,33.15256098639128,22.0098020039985
F5,8,23.36336885320016,61.082285317783935,30.67129879924909,22.14063163514
F5,9,16.624879464189064,14.666618765231997,31.01800291975072,20.31557617329944
F5,10,32.2232543549726,15.129483168385994,34.65888913029294,19.701226404321083
F5,11,14.09965920298842,21.48391000490182,42.36581711752542,33.38828932568767
F5,12,19.503343899084754,10.906464250497418,26.934551638315813,24.664465726271334
F5,13,27.87258809908789,19.167260180103757,39.38781965157359,20.84855860452253
F5,14,13.085523896073484,12.263058781315843,31.92941496801777,20.507355024145344
F5,15,32.18537498069022,12.847817577394462,28.73452348486892,28.91085316743633
F5,16,20.906296125766577,10.522735524710738,46.311432930754975,16.80329643296299
F5,17,32.27833423354433,9.724178373457413,38.20552715322995,21.428108896837585
F5,18,19.4861995248005,13.009101984735608,27.459754374461237,24.70873340882034
F5,19,23.700601432146527,23.40537992236395,39.3338693465828,30.16939773628369
F5,20,25.87078641025706,14.952752481423282,21.92755729335644,19.68339092757425
F5,21,28.468460986967923,15.792442519930765,36.43221764786192,25.990472063833465
F5,22,23.4655675334508,68.01390741353386,27.02659694668388,22.436838982986743
F5,23,39.45705085697185,14.155318367596626,30.935799431769244,24.57117168563988
F5,24,23.105989567706608,90.30332842462506,39.11391974114901,19.96569145472995
F5,25,22.512418838031845,18.61052599746893,38.94714802437979,17.464657269527414
F5,26,22.89750901024358,22.192231360459363,36.16545725723198,28.02005796792248
