case,seed,alg,mode,environment,post_change_error,end_of_environment_error,mean_error,error_reduction,error_reduction_fraction,recovery_evals_50,recovery_success_50,recovery_evals_90,recovery_success_90
F2,5,SGO,population_persistence,94,86.99789068404827,18.451068044963463,20.600328363435622,68.54682263908481,0.7879136160671697,112,True,399,True
F2,5,SGO,population_persistence,95,117.1867935981426,34.795969481406104,36.206393090603406,82.3908241167365,0.7030726038914541,2,True,36,True
F2,5,SGO,population_persistence,96,112.32113539873609,39.358189109462046,39.89369541077528,72.96294628927404,0.6495923143071707,10,True,15,True
F2,5,SGO,population_persistence,97,57.21207121373456,38.20314534563044,39.16934722642751,19.00892586810412,0.332253761572274,133,True,512,True
F2,5,SGO,population_persistence,98,142.51811105104727,33.44509005582366,35.35986498333197,109.0730209952236,0.7653274393747453,4,True,16,True
F2,5,SGO,population_persistence,99,70.49092785761681,36.116263720069576,38.38763892877467,34.374664137547235,0.4876466402453933,30,True,942,True
F2,5,SGO,population_persistence,100,83.18351532241235,29.295340546133254,29.374057326376803,53.888174776279094,0.6478227635296854,4,True,4,True
F2,3,SGO,cold_restart,1,131.76610442616484,15.240561611534204,19.179241401488124,116.52554281463064,0.8843362511329744,7,True,516,True
F2,3,SGO,cold_restart,2,138.26551816568744,24.56689361699769,25.300919626424786,113.69862454868975,0.8223208942987615,10,True,85,True
F2,3,SGO,cold_restart,3,113.49341447817547,12.572213426261499,13.847806623433879,100.92120105191397,0.8892251723673438,4,True,310,True
F2,3,SGO,cold_restart,4,98.86732844681774,15.636678051538844,18.241250211514377,83.2306503952789,0.8418418066191599,16,True,343,True
F2,3,SGO,cold_restart,5,132.9325707369415,22.983599666816623,24.137933735317773,109.94897107012488,0.8271033235917888,4,True,172,True
F2,3,SGO,cold_restart,6,111.58332464179806,18.8461285022021,21.03375113522572,92.73719613959597,0.8311026440312524,18,True,90,True
F2,3,SGO,cold_restart,7,112.00674553141272,38.59832102854291,40.99077370966007,73.4084245028698,0.6553928886567116,6,True,675,True
F2,3,SGO,cold_restart,8,143.47956523424645,31.95580350411319,33.984158064656214,111.52376173013326,0.7772797579087881,8,True,255,True
F2,3,SGO,cold_restart,9,117.55915672791421,29.369403899016795,35.467100264644706,88.18975282889741,0.7501734044674115,5,True,1173,True
F2,3,SGO,cold_restart,10,129.00294120671106,18.796958951321955,23.773851177039283,110.2059822553891,0.8542904620972774,10,True,978,True
F2,3,SGO,cold_restart,11,103.89531458489503,18.776333073700002,22.504124244018183,85.11898151119503,0.8192764211868527,50,True,803,True
F2,3,SGO,cold_restart,12,93.81859466169223,24.2113915598716,27.900679908707133,69.60720310182063,0.7419339775107766,29,True,492,True
F2,3,SGO,cold_restart,13,123.43936503503821,7.566157648937249,11.0345930928593,115.87320738610096,0.9387054717367543,4,True,464,True
F2,3,SGO,cold_restart,14,107.27393504749355,32.98582736571109,33.4517901651938,74.28810768178246,0.692508461155012,28,True,68,True
F2,3,SGO,cold_restart,15,98.22645807642407,25.351407605284244,26.9708747006537,72.87505047113982,0.7419085641308591,2,True,210,True
F2,3,SGO,cold_restart,16,119.99191014804768,19.62938114169777,21.33041227339175,100.36252900634992,0.8364107953821324,20,True,246,True
F2,3,SGO,cold_restart,17,158.75972084262315,9.900248630942599,13.548963027292862,148.85947221168055,0.9376400476241917,18,True,371,True
F2,3,SGO,cold_restart,18,135.53558819638715,30.3335910073704,31.718117900296587,105.20199718901675,0.7761946407506056,16,True,135,True
F2,3,SGO,cold_restart,19,109.27140129526266,22.91268414895889,24.00545190234114,86.35871714630377,0.7903139899611387,3,True,74,True
F2,3,SGO,cold_restart,20,127.66653345436974,18.62178023677115,20.881478392504405,109.04475321759858,0.8541373394192856,2,True,411,True
F2,3,SGO,cold_restart,21,90.73203261519417,13.49714230777554,19.592047319692018,77.23489030741862,0.8512417068289586,24,True,439,True
F2,3,SGO,cold_restart,22,93.8302507831032,11.090714365272582,17.180890042261442,82.7395364178306,0.8818002267636507,22,True,908,True
F2,3,SGO,cold_restart,23,129.14455651947847,19.417567839298393,23.36388259420252,109.72698868018009,0.849644705416835,4,True,374,True
F2,3,SGO,cold_restart,24,198.37218031254224,18.233524230872334,21.179898186315018,180.13865608166992,0.9080842676521236,3,True,201,True
F2,3,SGO,cold_restart,25,129.54774261561295,24.944829997717136,29.00808246619415,104.60291261789581,0.8074468184927615,3,True,666,True
