case,alg,mode,seed,end_error,post_change_error,recovery_frac_50,recovery_frac_90,late_half_fraction,mean_population_diversity
F10,PSO,cold_restart,6,97.10821370457451,403.9770710079091,0.035684848484848486,0.37167676767676766,0.0856144004102182,0.13514817096707082
F10,PSO,cold_restart,7,95.45472439505704,393.8521562911179,0.03506868686868687,0.3790161616161616,0.09025115099672465,0.13456200068755392
F10,PSO,cold_restart,8,102.00402331241682,400.2607948271729,0.03405656565656565,0.4419131313131313,0.0933288180289807,0.14159956595095285
F10,PSO,cold_restart,9,103.31914511845525,413.88069198504905,0.023583838383838384,0.37209090909090914,0.07796735298696637,0.13610970199565567
F10,PSO,cold_restart,10,97.57223671074418,378.80430386002485,0.039804040404040404,0.44876969696969693,0.10140430366278008,0.14811892895380022
F10,PSO,cold_restart,11,102.78826058641741,396.71191984421904,0.031054545454545453,0.4274727272727273,0.08993745577514671,0.1389149464399847
F10,PSO,cold_restart,12,97.24539996812588,392.65478105540814,0.03987070707070707,0.40393333333333337,0.090430141492535,0.13926985572927542
F10,PSO,cold_restart,13,94.40272051943904,387.0205014352532,0.03383838383838384,0.44159191919191915,0.09529331810258222,0.14051417759246174
F10,PSO,cold_restart,14,101.70878372346331,388.52806189291664,0.03891919191919192,0.4461979797979798,0.09925673943199524,0.14557791400558484
F10,PSO,cold_restart,15,104.47948149664506,395.68156383117486,0.03431313131313131,0.40015151515151515,0.08084802620595115,0.14192417681291897
F10,PSO,cold_restart,16,101.70559735317072,393.1472060040718,0.029395959595959597,0.449949494949495,0.10003182898536156,0.14519939180341881
F10,PSO,cold_restart,17,100.7792960619202,405.67616085686774,0.03258383838383838,0.42253535353535354,0.08913389019402534,0.14427004190785753
F10,PSO,cold_restart,18,106.23311629847841,378.8901285473811,0.040137373737373735,0.4133212121212121,0.09218031394070329,0.14592270698949414
F10,PSO,cold_restart,19,101.93467619316965,390.63829699731866,0.03444646464646465,0.4393010101010101,0.10157633904709591,0.14392905007436985
F10,PSO,cold_restart,20,105.17687712484519,409.60157155344643,0.02778787878787879,0.4303070707070707,0.08699429876932278,0.14389622500938587
F10,PSO,cold_restart,21,103.10401088525171,406.09181965099754,0.024854545454545452,0.40063838383838385,0.08584796125071234,0.1356135793347414
F10,PSO,cold_restart,22,106.7367665493107,396.6377572851237,0.03258989898989899,0.39364848484848486,0.09080499975118239,0.14028877342515797
F10,PSO,cold_restart,23,107.47550233440978,390.3017696503327,0.03136565656565656,0.3928565656565657,0.08763657088718399,0.14082411795794855
F10,PSO,cold_restart,24,98.34045471429977,392.162659304929,0.03486262626262626,0.43023838383838386,0.09726810440877448,0.13884288920523613
F10,PSO,cold_restart,25,102.14679490303423,392.80185555642896,0.04021818181818182,0.4275777777777778,0.09357652086905,0.14031270685231345
F10,PSO,cold_restart,26,100.76444039254557,397.7085181758504,0.03770909090909091,0.3838020202020202,0.0866420986385405,0.1338195601933719
F10,PSO,cold_restart,27,108.0073604121034,398.5247398946488,0.03629090909090909,0.43142020202020204,0.08908260106389457,0.14310863611143093
F10,PSO,cold_restart,28,105.23723215858658,396.37419680989444,0.03926060606060606,0.4427333333333333,0.10276078113268027,0.14462172029148618
F10,PSO,cold_restart,29,103.20486208235143,398.88905933429004,0.02452121212121212,0.4096767676767677,0.08587170193490615,0.14405001265286324
F10,PSO,cold_restart,30,102.0902663450353,374.8376781392111,0.042416161616161616,0.43726868686868686,0.09984276335613078,0.1479083913400383
F10,PSO,cold_restart,31,111.2954451123645,395.42313400312213,0.029624242424242424,0.46465050505050504,0.11091697851816061,0.1472915665501229
F10,PSO,population_persistence,1,156.6406558780985,291.3908504808261,0.05968282828282828,0.4667090909090909,0.11755009791850651,0.04233144709861193
F10,PSO,population_persistence,2,77.765684948568,166.48821281743903,0.059937373737373734,0.5914262626262626,0.19654189035018071,0.0606639303401959
F10,PSO,population_persistence,3,334.6163247320897,392.8840094206273,0.0656,0.4575581395348837,0.11793498731358318,0.015994890759470394
F10,PSO,population_persistence,4,62.41061569635239,151.9015886521699,0.04392323232323232,0.49281212121212126,0.13852715543883556,0.033042731256545055
