system,k,stratum,alg,budget_fe,n,median_gap,q1,q3,conv_rate,first_ctrl_err_median,time_ms_median,fe_exact
uav,0,Severe,PSO,1000,30,2.5272298415467712e-05,5.6547166145931956e-06,8.591739639018769e-05,0.7666666666666667,0.0006572598416196318,4.410752037074417,True
uav,0,Severe,PSO,2000,30,1.4037151082053077e-11,1.1337602902067421e-12,5.2031886239972634e-11,1.0,6.788060988366303e-07,8.838399517117068,True
uav,0,Severe,PSO,5000,30,4.87272070573436e-16,3.6545405293007697e-16,4.87272070573436e-16,1.0,1.7383661978212475e-09,21.509137499378994,True
uav,0,Severe,SGO,250,30,0.8767465979040397,0.5778629580702351,1.0,0.0,1.0001070105850103,3.120335517451167,True
uav,0,Severe,SGO,500,30,0.3711887326147014,0.2935274663859929,0.40214572603451576,0.0,0.9055364155578723,6.276816508034244,True
uav,0,Severe,SGO,1000,30,0.32047303355560774,0.21516902683395378,0.35667991564844764,0.0,0.8597353531351932,12.894274987047538,True
uav,0,Severe,SGO,2000,30,0.30084651688272795,0.1967393086170929,0.34691153793131835,0.0,0.8400496950032645,25.922770000761375,True
uav,0,Severe,SGO,5000,30,0.30029410094711784,0.19650125407657376,0.3462310952387831,0.0,0.8385373986744555,64.91101998835802,True
uav,0,Severe,WOA,250,30,0.41882014581823224,0.4038328476271963,0.4648847300707843,0.0,0.9989749233931284,1.9167755090165883,True
uav,0,Severe,WOA,500,30,0.3919254762821453,0.38745424719562077,0.39969408534317974,0.0,0.999403748048632,3.8634185038972646,True
uav,0,Severe,WOA,1000,30,0.3918991100798027,0.3867470818898923,0.39867402789025524,0.0,1.0013068826135223,7.8625700261909515,True
uav,0,Severe,WOA,2000,30,0.3903210281546675,0.38617721033271757,0.3967882676178352,0.0,0.9968272197799116,16.0380840243306,True
uav,0,Severe,WOA,5000,30,0.39082543720406093,0.38775424294070093,0.3970078106363813,0.0,0.9971913020805023,40.165366983274,True
uav,495,High,GWO,250,30,0.09235562715360374,0.03005000315263676,0.4249471246823548,0.0,0.012394065229386093,4.71114699030295,True
