system,alg,NP,maxIter_derived,fe_budget,seed,trial,nrmse,mean_nfe_per_step,mean_time_ms,P,Nc,Q_scale,ic
flight,WOA,14,77,1000,10023002,2,0.021353388464121506,1000.0,7.405759662312145,20,1,1.0,tune
flight,WOA,20,55,1000,10033000,0,0.02135955615631519,1000.0,7.360846801311709,20,1,1.0,tune
flight,WOA,20,55,1000,10033001,1,0.02135570623656096,1000.0,7.370577714173123,20,1,1.0,tune
flight,WOA,20,55,1000,10033002,2,0.021348374882655886,1000.0,7.366665293035719,20,1,1.0,tune
flight,WOA,30,39,1000,10043000,0,0.02136008666213301,1000.0,7.289735379745252,20,1,1.0,tune
flight,WOA,30,39,1000,10043001,1,0.02135829104126033,1000.0,7.276326388043041,20,1,1.0,tune
flight,WOA,30,39,1000,10043002,2,0.021358452822337247,1000.0,7.482721871735218,20,1,1.0,tune
hvac,SGO,8,255,1000,11000000,0,0.056063342744865186,1000.0,12.971912576739365,20,1,1.0,tune
hvac,SGO,8,255,1000,11000001,1,0.05606336558527706,1000.0,12.911153067970494,20,1,1.0,tune
hvac,SGO,8,255,1000,11000002,2,0.056064073099093524,1000.0,12.847505421280706,20,1,1.0,tune
hvac,SGO,10,205,1000,11010000,0,0.05606377652019323,1000.0,12.417940524814185,20,1,1.0,tune
hvac,SGO,10,205,1000,11010001,1,0.05606357406225632,1000.0,12.336334104067646,20,1,1.0,tune
hvac,SGO,10,205,1000,11010002,2,0.05606364038303052,1000.0,12.368020599766169,20,1,1.0,tune
hvac,SGO,14,148,1000,11020000,0,0.05606317460718788,1000.0,11.884633478262307,20,1,1.0,tune
hvac,SGO,14,148,1000,11020001,1,0.05606358269604458,1000.0,12.245652055755878,20,1,1.0,tune
hvac,SGO,14,148,1000,11020002,2,0.05606312305034173,1000.0,12.224118321028072,20,1,1.0,tune
hvac,SGO,20,105,1000,11030000,0,0.05606242723224325,1000.0,11.643702765073007,20,1,1.0,tune
hvac,SGO,20,105,1000,11030001,1,0.05606234452136835,1000.0,11.754530346409107,20,1,1.0,tune
hvac,SGO,20,105,1000,11030002,2,0.05606172681194144,1000.0,11.724102472343171,20,1,1.0,tune
hvac,SGO,30,72,1000,11040000,0,0.05606002097888055,1000.0,11.359575617553977,20,1,1.0,tune
hvac,SGO,30,72,1000,11040001,1,0.05606012309985065,1000.0,11.39423316117609,20,1,1.0,tune
hvac,SGO,30,72,1000,11040002,2,0.05605965996177748,1000.0,11.454761132675534,20,1,1.0,tune
