system,condition,alg,trial,seed,nrmse,reference_nrmse,realized_nfe_mean,fe_exact,time_ms_mean
uav,process_disturbance,WOA,8,17013008,0.0073473764163002634,0.006728507719622423,1000.0,True,7.665064090542728
uav,process_disturbance,WOA,9,17013009,0.006818596903501474,0.006728507719622423,1000.0,True,7.567818821262335
uav,measurement_noise,SGO,0,17020000,0.0016285713255378646,0.001432390048719209,1000.0,True,11.769977017393103
uav,measurement_noise,SGO,1,17020001,0.0015859707952009057,0.001432390048719209,1000.0,True,11.87986756573082
uav,measurement_noise,SGO,2,17020002,0.001569103368700248,0.001432390048719209,1000.0,True,11.813773625035537
uav,measurement_noise,SGO,3,17020003,0.00148236394143846,0.001432390048719209,1000.0,True,11.769082927203272
uav,measurement_noise,SGO,4,17020004,0.0015661639393250968,0.001432390048719209,1000.0,True,11.981916403165087
uav,measurement_noise,SGO,5,17020005,0.001605807068879232,0.001432390048719209,1000.0,True,12.074790332553675
uav,measurement_noise,SGO,6,17020006,0.001599113365199869,0.001432390048719209,1000.0,True,11.960305415123003
uav,measurement_noise,SGO,7,17020007,0.0014800207690121995,0.001432390048719209,1000.0,True,12.10943417972885
uav,measurement_noise,SGO,8,17020008,0.001629712814577064,0.001432390048719209,1000.0,True,12.135833419160917
uav,measurement_noise,SGO,9,17020009,0.0016637236951407063,0.001432390048719209,1000.0,True,12.287734869896667
uav,measurement_noise,GWO,0,17021000,0.0014616341031031398,0.001432390048719209,1000.0,True,21.544643554807408
uav,measurement_noise,GWO,1,17021001,0.0014827763606915303,0.001432390048719209,1000.0,True,21.617562843166525
uav,measurement_noise,GWO,2,17021002,0.001525242374631317,0.001432390048719209,1000.0,True,21.870360728207743
uav,measurement_noise,GWO,3,17021003,0.0014687277546571334,0.001432390048719209,1000.0,True,22.27843480897718
uav,measurement_noise,GWO,4,17021004,0.0014693358122552906,0.001432390048719209,1000.0,True,22.25072899265797
uav,measurement_noise,GWO,5,17021005,0.0014276826836559034,0.001432390048719209,1000.0,True,22.13413056844729
uav,measurement_noise,GWO,6,17021006,0.0015215333134881747,0.001432390048719209,1000.0,True,22.663434082787717
uav,measurement_noise,GWO,7,17021007,0.0013846546892543937,0.001432390048719209,1000.0,True,22.550116446072934
uav,measurement_noise,GWO,8,17021008,0.0014091291016616863,0.001432390048719209,1000.0,True,22.832568519515917
